"date","forecast"
2017-03-01,3114.48606410288
2017-03-02,3073.89657111602
2017-03-03,3129.63730320726
2017-03-04,3098.54813350456
2017-03-05,2993.96810168788
2017-03-06,2979.2735694512
2017-03-07,2889.77352138444
2017-03-08,3204.38973389579
2017-03-09,3132.73140990495
2017-03-10,3180.85498657418
2017-03-11,3132.82419239496
2017-03-12,3052.19543179573
2017-03-13,3092.28983272879
2017-03-14,2965.11137077231
2017-03-15,3239.29999614798
2017-03-16,3157.38048764234
2017-03-17,3201.67836624155
2017-03-18,3148.26010730593
2017-03-19,3073.77840278605
2017-03-20,3120.21421852321
2017-03-21,2991.40291034766
2017-03-22,3253.75461205957
2017-03-23,3169.15965395591
2017-03-24,3212.54330331339
2017-03-25,3161.36231568831
2017-03-26,3080.18438527035
2017-03-27,3121.80116367461
2017-03-28,2988.46701969079
2017-03-29,3255.03567083692
2017-03-30,3170.48764744654
2017-03-31,3213.36925924696
